region,section,bytes,note
AXISRAM1 (1 MB),.isr_vector,844,
AXISRAM1 (1 MB),.text,151460,
AXISRAM1 (1 MB),.rodata,467792,
AXISRAM1 (1 MB),.data,53932,
PSRAM (32 MB),.psram_pp,340224,
AXISRAM1 (1 MB),.bss,60704,
AXISRAM1 (1 MB),.mtk_exctbl,848,
PSRAM (32 MB),.psram_section,2304000,
NOR flash,network weights,1201104,NPU reads in place (memory-mapped)
NOR flash,guardian_sign.bin,675168,copied to AXISRAM1 by the FSBL
stack,gate,1384,of 4096 B (33 %)
stack,imu,1008,of 4096 B (24 %)
stack,vision,1508,of 32768 B (4 %)
stack,log,436,of 1024 B (42 %)
